Gene Symbol	Name	Entrez GeneId	Genome Location	Tier	Hallmark	Chr Band	Somatic	Germline	Tumour Types(Somatic)	Tumour Types(Germline)	Cancer Syndrome	Tissue Type	Molecular Genetics	Role in Cancer	Mutation Types	Translocation Partner	Other Germline Mut	Other Syndrome	Synonyms
FAM131B	"family with sequence similarity 131, member B"	9715	7:143356550-143360093	2		7q34	yes		pilocytic astrocytoma			O	Dom	fusion	T	BRAF			"9715,ENSG00000159784,FAM131B,Q86XD5"
FAM135B	family with sequence similarity 135 member B	51059	8:138132593-138367983	2		8q24.23	yes		SCLC			E			Mis				"51059,ENSG00000147724,FAM135B,Q49AJ0"
FAM46C	"family with sequence similarity 46, member C"	54855	1:117622869-117624044	1		1p12	yes		MM			L	Rec	TSG	"Mis, F, O"				"54855,ENSG00000183508,FAM46C,Q5VWP2"
FAM47C	family with sequence similarity 47 member C	442444	X:37008411-37011518	2		Xp21.1	yes		"melanoma, clear cell sarcoma of soft parts, SCLC"			"E, M"			Mis				"442444,ENSG00000198173,FAM47C,Q5HY64"
FANCA	"Fanconi anemia, complementation group A"	2175	16:89738601-89816615	1		16q24.3		yes		"AML, leukaemia"	Fanconi anaemia A	L	Rec	TSG	"D, Mis, N, F, S"				"2175,ENSG00000187741,FACA,FANCA,FANCH,O15360"
FANCC	"Fanconi anemia, complementation group C"	2176	9:95101707-95249291	1		9q22.3		yes		"AML, leukaemia"	Fanconi anaemia C	L	Rec	TSG	"D, Mis, N, F, S"				"2176,ENSG00000158169,FACC,FANCC,Q00597"
FANCD2	"Fanconi anemia, complementation group D2"	2177	3:10028658-10098950	1	Yes	3p26		yes		"AML, leukaemia"	Fanconi anaemia D2	L	Rec	TSG	"D, Mis, N, F"				"2177,ENSG00000144554,FACD,FANCD,FANCD2,Q9BXW9"
FANCE	"Fanconi anemia, complementation group E"	2178	6:35452546-35466345	1		6p21-p22		yes		"AML, leukaemia"	Fanconi anaemia E	L	Rec	TSG	"N, F, S"				"2178,ENSG00000112039,FACE,FANCE,Q9HB96"
FANCF	"Fanconi anemia, complementation group F"	2188	11:22624686-22625810	1		11p15		yes		"AML, leukaemia"	Fanconi anaemia F	L	Rec	TSG	"N, F"				"2188,ENSG00000183161,FANCF,Q9NPI8"
FANCG	"Fanconi anemia, complementation group G"	2189	9:35074108-35079524	1		9p13		yes		"AML, leukaemia"	Fanconi anaemia G	L	Rec	TSG	"Mis, N, F, S"				"2189,ENSG00000221829,FANCG,O15287,XRCC9"
FAS	Fas cell surface death receptor	355	10:88990877-89014450	1	Yes	10q24.1	yes		"TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related"			"L, E, O"	Rec	TSG	Mis		yes	Autoimmune lymphoproliferative syndrome	"355,ALPS1A,APO-1,APT1,CD95,ENSG00000026103,FAS,FAS1,FASTM,P25445,TNFRSF6"
FAT1	FAT atypical cadherin 1	2195	4:186588592-186709827	1	Yes	4q35.2	yes	yes	"oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma"	pancreatic		"E, L"		TSG	"Mis, N, F, S"				"2195,ENSG00000083857,FAT,FAT1,Q14517"
FAT3	FAT atypical cadherin 3	120114	11:92837714-92891113	2		11q14.3	yes		"SCC, colon adenocarcinoma, gastric adenocarcinoma"			E			Mis				"120114,ENSG00000165323,FAT3,Q8TDW7"
FAT4	FAT atypical cadherin 4	79633	4:125316412-125491768	1	Yes	4q28.1	yes		"lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma"			"E, L"		TSG	"Mis, N"		yes	"Hennekam lymphangiectasia-lymphedema syndrome 2, Van Maldergem syndrome 2"	"79633,ENSG00000196159,FAT4"
FBLN2	fibulin 2	2199	3:13618090-13637919	2		3p25.1	yes		"breast cancer, colorectal adenocarcinoma"			E		TSG	"Mis, S"				"2199,ENSG00000163520,FBLN2,P98095"
FBXO11	F-box protein 11	80204	2:47808118-47839749	1		2p16.3	yes		DLBCL			L	Rec	TSG	"Mis, F, D"				"80204,ENSG00000138081,FBXO11,Q86XK2"
FBXW7	"F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)"	55294	4:152322881-152411803	1	Yes	4q31.3	yes		"colorectal, endometrial, T-ALL"			"E, L"	Rec	TSG	"Mis, N, D, F"				"55294,ENSG00000109670,FBXW7,Q969H0"
FCGR2B	"Fc fragment of IgG, low affinity IIb, receptor for (CD32)"	2213	1:161663242-161677553	1	Yes	1q23	yes		ALL			L	Dom	"oncogene, fusion"	T	?			"2213,ENSG00000072694,FCG2,FCGR2,FCGR2B,P31994"
FCRL4	Fc receptor-like 4	83417	1:157575524-157597944	1		1q21	yes		B-NHL			L	Dom	"oncogene, fusion"	T	IGH			"83417,ENSG00000163518,FCRL4,Q96PJ5"
FEN1	flap structure-specific endonuclease 1	2237	11:61795362-61796504	2		11q12.2		yes		breast cancer		E		TSG					"2237,ENSG00000168496,FEN1,P39748,RAD2"
FES	"FES proto-oncogene, tyrosine kinase"	2242	15:90885046-90895558	1		15q26.1	yes		"HNSCC, ovarian carcinoma"			E		"oncogene, TSG"	"Mis, F"				"2242,ENSG00000182511,FES,P07332"
FEV	FEV protein - (HSRNAFEV)	54738	2:218981667-218985075	1		2q36	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	"EWSR1,  FUS"			"54738,ENSG00000163497,FEV,Q99581"
FGFR1	fibroblast growth factor receptor 1	2260	8:38413628-38457446	1	Yes	8p11.2-p11.1	yes		"MPN, NHL, salivary adenoma"			L	Dom	"oncogene, fusion"	T	"BCR, FOP, ZMYM2, CNTRL, PLAG1"	yes	"Pfeiffer syndrome, Kallman syndrome"	"2260,ENSG00000077782,FGFR1,FLT2,KAL2,P11362"
FGFR1OP	FGFR1 oncogene partner (FOP)	11116	6:166999414-167039979	1		6q27	yes		"MPN, NHL"			L	Dom	fusion	T	FGFR1			"11116,ENSG00000213066,FGFR1OP,O95684"
FGFR2	fibroblast growth factor receptor 2	2263	10:121479857-121593817	1	Yes	10q26	yes		"gastric, NSCLC, endometrial"			E	Dom	"oncogene, fusion"	Mis		yes	"Crouzon, Pfeiffer, and Apert syndromes"	"2263,BEK,CFD1,ENSG00000066468,FGFR2,JWS,KGFR,P21802"
FGFR3	fibroblast growth factor receptor 3	2261	4:1793935-1807262	1	Yes	4p16.3	yes		"bladder, MM, T-cell lymphoma"			"L, E"	Dom	"oncogene, fusion"	"Mis, T"	"IGH, ETV6"	yes	"Hypochondroplasia, Thanatophoric dysplasia"	"2261,ACH,ENSG00000068078,FGFR3,P22607"
FGFR4	fibroblast growth factor receptor 4	2264	5:177089603-177097676	1	Yes	5q35.2	yes		rhabdomyosarcoma			M	Dom	oncogene	Mis				"2264,ENSG00000160867,FGFR4,P22455"
FH	fumarate hydratase	2271	1:241497828-241519722	1		1q42.1		yes		"leiomyomatosis, renal"	hereditary leiomyomatosis and renal cell cancer	"E, M"	Rec	TSG	"Mis, N, F"				"2271,ENSG00000091483,FH,P07954"
FHIT	fragile histidine triad gene	2272	3:59752226-60536962	1	Yes	3p14.2	yes		pleomorphic salivary gland adenoma			E	Dom	"TSG, fusion"	T	HMGA2			"2272,ENSG00000189283,FHIT,P49789"
FIP1L1	FIP1 like 1 (S. cerevisiae)	81608	4:53377840-53459450	1	Yes	4q12	yes		idiopathic hypereosinophilic syndrome			L	Dom	fusion	T	PDGFRA			"81608,ENSG00000145216,FIP1L1,Q6UN15"
FKBP9	FK506 binding protein 9	11328	7:32957574-33005351	2		7p14.3	yes		glioma			O			Mis				"11328,ENSG00000122642,FKBP9,O95302"
FLCN	folliculin	201163	17:17213655-17228137	1		17p11.2		yes		"renal, fibrofolliculomas, trichodiscomas"	Birt-Hogg-Dube syndrome	"E, M"	Rec	TSG	"Mis. N, F"				"201163,ENSG00000154803,FLCN,Q8NFG4"
FLI1	Friend leukemia virus integration 1	2313	11:128694259-128810988	1		11q24	yes		Ewing sarcoma			M	Dom	"oncogene, fusion"	T	EWSR1			"2313,ENSG00000151702,FLI1,Q01543"
FLNA	filamin A	2316	X:154348849-154371245	2		Xq28	yes		phyllodes tumour of the breast			E			"Mis, F, O"				"2316,ENSG00000196924,FLN,FLN1,FLNA,OPD1,OPD2,P21333"
FLT3	fms-related tyrosine kinase 3	2322	13:28004052-28100510	1	Yes	13q12	yes		"AML, ALL"			L	Dom	oncogene	"Mis, O"				"2322,ENSG00000122025,FLT3,P36888"
FLT4	fms-related tyrosine kinase 4	2324	5:180608281-180649545	1	Yes	5q35.3	yes		soft tissue sarcoma			M	Dom	oncogene	A				"2324,ENSG00000037280,FLT4,P35916"
FNBP1	formin binding protein 1 (FBP17)	23048	9:129890539-130042975	2		9q23	yes		AML			L	Dom	fusion	T	KMT2A			"23048,ENSG00000187239,FNBP1"
FOXA1	forkhead box A1	3169	14:37591365-37594972	1	Yes	14q12-q13	yes		"breast, prostate"			E	Dom	oncogene	"Mis, F"				"3169,ENSG00000129514,FOXA1,HNF3A,P55317"
FOXL2	forkhead box L2	668	3:138945592-138946722	1		3q23	yes		granulosa-cell tumour of the ovary			O	Dom	"oncogene, TSG"	Mis		yes	"Blepharophimosis, ptosis and epicanthus inversus Types I, II; Premature ovarian failure type III"	"668,BPES,ENSG00000183770,FOXL2,P58012"
FOXO1	forkhead box O1	2308	13:40555680-40666212	1		13q14.1	yes		alveolar rhabdomyosarcoma			M	Dom	"oncogene, TSG, fusion"	T	"PAX3, PAX7"			"2308,ENSG00000150907,FKHR,FOXO1,FOXO1A,Q12778"
FOXO3	forkhead box O3	2309	6:108561209-108664855	1		6q21	yes		AL			L	Dom	"oncogene, TSG, fusion"	T	KMT2A			"2309,ENSG00000118689,FKHRL1,FOXO3,FOXO3A,O43524"
FOXO4	forkhead box O4	4303	X:71096529-71102084	1		Xq13.1	yes		"AL, soft tissue sarcoma"			"L, M"	Dom	"oncogene, TSG, fusion"	T	"KMT2A, CIC"			"4303,ENSG00000184481,FOXO4,MLLT7,P98177"
FOXP1	forkhead box P1	27086	3:70959247-71198381	1		3p14.1	yes		ALL			L	Dom	"oncogene, fusion"	T	PAX5			"27086,ENSG00000114861,FOXP1,Q9H334"
FOXR1	forkhead box R1	283150	11:118971932-118981236	2		11q23.3	yes		neuroblastoma			O		"oncogene, fusion"	T				"283150,ENSG00000176302,FOXR1,Q6PIV2"
FSTL3	follistatin-like 3 (secreted glycoprotein)	10272	19:676425-681709	1		19p13	yes		B-CLL			L	Dom	"oncogene, fusion"	T	CCND1			"10272,ENSG00000070404,FSTL3,O95633"
FUBP1	far upstream element (FUSE) binding protein 1	8880	1:77949146-77979004	1	Yes	1p13.1	yes		oligodendroglioma			O	Rec	oncogene	"F, N"				"8880,ENSG00000162613,FUBP,FUBP1,Q96AE4"
FUS	"fusion, derived from t(12;16) malignant liposarcoma"	2521	16:31180215-31191438	1	Yes	16p11.2	yes		"liposarcoma, AML, Ewing sarcoma, angiomatoid fibrous histiocytoma, fibromyxoid sarcoma"			"M, L"	Dom	"TSG, fusion"	T	"DDIT3, ERG, FEV, ATF1, CREB3L2, CREB3L1, NFATC2"			"2521,ALS6,ENSG00000089280,FUS,P35637"
GAS7	growth arrest-specific 7	8522	17:9917228-10198390	1	Yes	17p	yes		AML*			L	Dom	fusion	T	KMT2A			"8522,ENSG00000007237,GAS7,O60861"
GATA1	GATA binding protein 1 (globin transcription factor 1)	2623	X:48791110-48794164	1		Xp11.23	yes		megakaryoblastic leukaemia of Downs syndrome			L	Dom	"oncogene, TSG"	"Mis, F"				"2623,ENSG00000102145,GATA1,GF1,P15976"
GATA2	GATA binding protein 2	2624	3:128481019-128487031	1		3q21.3	yes		AML (CML blast transformation)			L	Dom	oncogene	Mis				"2624,ENSG00000179348,GATA2,P23769"
GATA3	GATA binding protein 3	2625	10:8055656-8074023	1		10p15	yes		breast			E	Rec	"oncogene, TSG"	"F, N, S"		yes	"HDR syndrome (hypoparathyroidism, sensorineural deafness, and renal disease)"	"2625,ENSG00000107485,GATA3,P23771"
GLI1	GLI family zinc finger 1	2735	12:57463692-57472061	2		12q13.3	yes		"CRC, oesophagus cancer"			E		"oncogene, fusion"	"T, F"		yes	IBD	"2735,ENSG00000111087,GLI,GLI1,P08151"
GMPS	guanine monphosphate synthetase	8833	3:155870871-155937692	2		3q24	yes		AML			L	Dom	fusion	T	KMT2A			"8833,ENSG00000163655,GMPS,P49915"
GNA11	"guanine nucleotide binding protein (G protein), alpha 11 (Gq class)"	2767	19:3094652-3121179	1	Yes	19p13.3	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"2767,ENSG00000088256,GNA11,HHC2,P29992"
GNAQ	"guanine nucleotide binding protein (G protein), q polypeptide"	2776	9:77721323-78031235	1	Yes	9q21	yes		"uveal melanoma, primary central nervous system melanocytic neoplasms"			"E, O"	Dom	oncogene	Mis				"2776,ENSG00000156052,GNAQ,P50148"
GNAS	"guanine nucleotide binding protein (G protein), alpha stimulating activity polypeptide 1"	2778	20:58891727-58910829	1	Yes	20q13.2	yes		"pituitary adenoma, pancreatic intraductal papillary mucinous neoplasm, fibrous dysplasia"			"E, M"	Dom	oncogene	Mis		yes	"McCune-Albright syndrome; pseudohypoparathyroidism, type IA"	"2778,ENSG00000087460,GNAS,GNAS1,P63092"
GOLGA5	"golgi autoantigen, golgin subfamily a, 5  (PTC5)"	9950	14:92797439-92839447	1		14q	yes		"papillary thyroid, Spitzoid tumour"			E	Dom	fusion	T	RET			"9950,ENSG00000066455,GOLGA5,Q8TBA6"
GOPC	golgi associated PDZ and coiled-coil motif containing	57120	6:117563254-117602288	1		6q21	yes		"glioblastoma, cholangiocarcinoma, borderline ovarian"			"E, O"	Dom	fusion	T	ROS1			"57120,ENSG00000047932,GOPC,Q9HD26"
GPC3	glypican 3	2719	X:133536124-133985449	1	Yes	Xq26.1		yes		Wilms tumour	Simpson-Golabi-Behmel syndrome	O	Rec/X	"oncogene, TSG"	"D, Mis, N, F, S"				"2719,ENSG00000147257,GPC3,P51654,SDYS"
GPC5	glypican 5	2262	13:91399047-92866439	2		13q31.3	yes		lung adenocarcinoma			E		TSG	D				"2262,ENSG00000179399,GPC5,P78333"
GPHN	gephyrin (GPH)	10243	14:66508529-67180938	1		14q24	yes		AL			L	Dom	fusion	T	KMT2A			"10243,ENSG00000171723,GPHN,Q9NQX3"
GRIN2A	"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"	2903	16:9763149-10180411	1		16p13.2	yes		"melanoma, colorectal carcinoma, gastric carcinoma, lung carcinoma"			E	Rec	TSG	"Mis, N, F, O"		yes	Focal epilepsy and speech disorder with or without mental retardation	"2903,ENSG00000183454,GRIN2A,NMDAR2A,Q12879"
GRM3	glutamate metabotropic receptor 3	2913	7:86765146-86864355	2		7q21.11-q21.12	yes		"melanoma, oral SCC"			E		oncogene	"Mis, A"				"2913,ENSG00000198822,GRM3,Q14832"
H3F3A	"H3 histone, family 3A"	3020	1:226064352-226071479	1	Yes	1q42.12	yes		glioma			O	Dom	oncogene	Mis				"3020,ENSG00000163041,H3F3,H3F3A,P84243"
H3F3B	"H3 histone, family 3B (H3.3B)"	3021	17:75778595-75779174	1		17q25.1	yes		chondroblastoma			M	Dom	oncogene	Mis				"3020,ENSG00000132475,H3F3B,P84243"
HERPUD1	"homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1"	9709	16:56932245-56943290	1		16q12.2-q13	yes		prostate			E	Dom	fusion	T	ERG			"9709,ENSG00000051108,HERPUD1,Q15011"
HEY1	hairy/enhancer-of-split related with YRPW motif 1	23462	8:79765188-79767663	1	Yes	8q21	yes		mesenchymal chondrosarcoma			M	Dom	"oncogene, fusion"	T	NCOA2			"23462,ENSG00000164683,HEY1,Q9Y5J3"
HIF1A	hypoxia inducible factor 1 alpha subunit	3091	14:61695805-61747085	1	Yes	14q23.2	yes		"endometrioid carcinoma, glioblastoma, colorectal, renal, lung, pancreatic"			"E, O"	Dom	oncogene	"Mis, F, N"				"3091,ENSG00000100644,HIF1A,Q16665"
HIP1	huntingtin interacting protein 1	3092	7:75538172-75738920	1	Yes	7q11.23	yes		"CMML, NSCLC"			"L, E"	Dom	"oncogene, fusion"	T	"PDGFRB, ALK"			"3092,ENSG00000127946,HIP1,O00291"
HIST1H3B	"histone cluster 1, H3b"	8358	6:26031650-26032060	1		6p22.1	yes		glioma			O	Dom	oncogene	Mis				"8350,ENSG00000124693,H3FL,HIST1H3B,P68431"
HIST1H4I	"histone 1, H4i (H4FM)"	8294	6:27107089-27107660	1		6p21.3	yes		NHL			L	Dom	fusion	T	BCL6			
HLA-A	"major histocompatibility complex, class I, A"	3105	6:29942554-29945455	1		6p21.3	yes		Spitzoid tumour			E	Dom	fusion	T	ROS1	yes	Carbamazepine-induced hypersensitivity syndrome	"3105,ENSG00000206503,HLA-A,P04439"
HLF	hepatic leukemia factor	3131	17:55265486-55320880	1		17q22	yes		ALL			L	Dom	"oncogene, fusion"	T	TCF3			"3131,ENSG00000108924,HLF,Q16534"
HMGA1	high mobility group AT-hook 1	3159	6:34240781-34244884	1		6p21	yes		"microfollicular thyroid adenoma, various benign mesenchymal tumours"			"E, M"	Dom	"oncogene, fusion"	T	?			"3159,ENSG00000137309,HMGA1,HMGIY,P17096"
HMGA2	high mobility group AT-hook 2 (HMGIC)	8091	12:65825271-65963292	1		12q15	yes		"lipoma, leiomyoma, pleomorphic salivary gland adenoma"			M	Dom	"oncogene, fusion"	T	"LHFP, RAD51B, LPP, COX6C, ACKR3, NFIB, ALDH2, CCNB1IP1, EBF1, WIF1, FHIT"			"8091,ENSG00000149948,HMGA2,HMGIC,P52926"
HMGN2P46	high mobility group nucleosomal binding domain 2 pseudogene 46	283651	15:-	2		15q21.1	yes		prostate			E	Dom	fusion	T	ETV1			
HNF1A	HNF1 homeobox A	6927	12:120978769-121001192	1	Yes	12q24.2	yes	yes	"hepatic adenoma, hepatocellular"	"hepatic adenoma, hepatocellular carcinoma"	familial hepatic adenoma	E	Rec	TSG	"Mis, F"		yes	"Maturity-onset diabetes of the young, TYPE III"	"6927,ENSG00000135100,HNF1A,MODY3,TCF1"
HNRNPA2B1	heterogeneous nuclear ribonucleoprotein A2/B1	3181	7:26190125-26200577	1	Yes	7p15	yes		prostate			E	Dom	"oncogene, fusion"	T	ETV1			"3181,ENSG00000122566,HNRNPA2B1,HNRPA2B1,P22626"
HOOK3	hook homolog 3	84376	8:42897132-43018498	1		8p11.21	yes		papillary thyroid			E	Dom	fusion	T	RET			"84376,ENSG00000168172,HOOK3,Q86VS8"
HOXA11	homeo box A11	3207	7:27182796-27185144	1	Yes	7p15-p14.2	yes		CML			L	Dom	"oncogene, TSG, fusion"	T	NUP98			"3207,ENSG00000005073,HOX1,HOX1I,HOXA11,P31270"
HOXA13	homeo box A13	3209	7:27198198-27200077	1		7p15-p14.2	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3209,ENSG00000106031,HOX1,HOX1J,HOXA13,P31271"
HOXA9	homeo box A9	3205	7:27163603-27165457	1		7p15-p14.2	yes		AML*			L	Dom	"oncogene, TSG, fusion"	T	"NUP98, MSI2"			"3205,ENSG00000078399,HOX1,HOX1G,HOXA9,P31269"
HOXC11	homeo box C11	3227	12:53973243-53975414	1		12q13.3	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3227,ENSG00000123388,HOX3H,HOXC11,O43248"
HOXC13	homeo box C13	3229	12:53938908-53945257	1		12q13.3	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3229,ENSG00000123364,HOX3,HOX3G,HOXC13,P31276"
HOXD11	homeo box D11	3237	2:176107357-176109143	1		2q31-q32	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"3237,ENSG00000128713,HOX4,HOX4F,HOXD11,P31277"
HOXD13	homeo box D13	3239	2:176092916-176094731	1		2q31-q32	yes		AML*			L	Dom	"oncogene, fusion"	T	NUP98			"3239,HOX4I,HOXD13,P35453,SPD"
HRAS	v-Ha-ras Harvey rat sarcoma viral oncogene homolog	3265	11:532636-534322	1	Yes	11p15.5	yes	yes	"infrequent sarcomas, rare other tumour types"	"rhabdomyosarcoma, ganglioneuroblastoma, bladder"	Costello syndrome	"E, L, M"	Dom	oncogene	Mis				"3265,ENSG00000174775,HRAS,HRAS1,P01112"
HSP90AA1	"heat shock protein 90kDa alpha (cytosolic), class A member 1"	3320	14:102081712-102139404	1		14q32.33	yes		NHL			L	Dom	fusion	T	BCL6			"3320,ENSG00000080824,HSP90AA1,HSPC1,HSPCA,P07900"
HSP90AB1	"heat shock protein 90kDa alpha (cytosolic), class B member 1"	3326	6:44248630-44253598	1		6p12	yes		NHL			L	Dom	fusion	T	BCL6			"3326,ENSG00000096384,HSP90AB1,HSPC2,HSPCB,P08238"
ID3	"inhibitor of DNA binding 3, HLH protein"	3399	1:23558960-23559426	2		1p36.12	yes		Burkitt lymphoma			L		TSG	"Mis, N"				"3399,ENSG00000117318,ID3,Q02535"
IDH1	"isocitrate dehydrogenase 1 (NADP+), soluble"	3417	2:208237079-208251551	1	Yes	2q33.3	yes		glioblastoma			O	Dom	oncogene	Mis				"3417,ENSG00000138413,IDH1,O75874"
IDH2	"isocitrate dehydrogenase 2 (NADP+), mitochondrial"	3418	15:90084266-90102390	1	Yes	15q26.1	yes		glioblastoma			O	Dom	oncogene	Mis				"3418,ENSG00000182054,IDH2,P48735"
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	10644	3:185645531-185824960	2		3q27.2	yes		lymphoma			L		TSG	D		yes	"Diabetes mellitus, noninsulin-dependent, susceptibility"	"10644,ENSG00000073792,IGF2BP2,Q9Y6M1"
IGH	immunoglobulin heavy locus	3492	14:-	1	Yes	14q32.33	yes		"MM, Burkitt lymphoma, NHL, CLL, B-ALL, MALT, MLCLS"			L	Dom	fusion	T	"MYC, FGFR3, PAX5, FCRL4, IRF4, CCND1, BCL9, BCL8, BCL6, BCL2, BCL3, BCL10, BCL11A. LHX4, DDX6, NFKB2, PAFAH1B2, PCSK7, CRLF2"			
IGK	immunoglobulin kappa locus	50802	2:-	1		2p12	yes		"Burkitt lymphoma, B-NHL"			L	Dom	fusion	T	"MYC, KDSR"			
IGL	immunoglobulin lambda locus	3535	22:-	1		22q11.2	yes		Burkitt lymphoma			L	Dom	fusion	T	"BCL9, MYC, CCND2"			
IKBKB	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta"	3551	8:42272100-42330979	1		8p11.2	yes		SMZL			L	Dom	oncogene	Mis		yes	Immunodeficiency 15	"3551,ENSG00000104365,IKBKB,O14920"
IKZF1	IKAROS family zinc finger 1	10320	7:50319062-50400628	1		7p12.2	yes		"ALL, DLBCL"			L	Dom/Rec	"TSG, fusion"	"D,T"	BCL6			"10320,ENSG00000185811,IKZF1,Q13422,ZNFN1A1"
IL2	interleukin 2	3558	4:122451752-122456440	1		4q26-q27	yes		intestinal T-cell lymphoma			L	Dom	fusion	T	TNFRSF17			"3558,ENSG00000109471,IL2,P60568"
IL21R	interleukin 21 receptor	50615	16:27430073-27449284	1		16p11	yes		NHL			L	Dom	fusion	T	BCL6			"50615,ENSG00000103522,IL21R,Q9HBE5"
IL6ST	"interleukin 6 signal transducer (gp130, oncostatin M receptor)"	3572	5:55941082-55976278	1	Yes	5q11	yes		hepatocellular carcinoma			E	Dom	oncogene	O				"3572,ENSG00000134352,IL6ST,P40189"
IL7R	interleukin 7 receptor	3575	5:35856978-35876486	1		5p13	yes		"ALL, ETP ALL"			L	Dom	oncogene	"Mis, O"		yes	Severe combined immune deficiency	"3575,ENSG00000168685,IL7R,P16871"
IRF4	interferon regulatory factor 4	3662	6:393154-407599	1		6p25-p23	yes		MM			L	Dom	"oncogene, TSG, fusion"	T	IGH			"3662,ENSG00000137265,IRF4,MUM1,Q15306"
IRS4	insulin receptor substrate 4	8471	X:108732571-108736344	1		Xq22.3	yes		"glioma, rhabdomyosarcoma, melanoma, breast cancer, T-ALL"			"E, O, M, L"		"oncogene, TSG"	"Mis, F, T"	TRB			"8471,ENSG00000133124,IRS4,O14654"
ISX	intestine specific homeobox	91464	22:35067088-35085693	2		22q12.3	yes		melanoma			E			Mis				"91464,ENSG00000175329,ISX,Q2M1V0"
ITGAV	integrin subunit alpha V	3685	2:186590339-186677292	2		2q32.1	yes		large intestine carcinoma			E			F				"3685,ENSG00000138448,ITGAV,MSK8,P06756,VNRA,VTNR"
ITK	IL2-inducible T-cell kinase	3702	5:157180978-157252678	1		5q31-q32	yes		peripheral T-cell lymphoma			L	Dom	fusion	T	SYK			"3702,ENSG00000113263,ITK,Q08881"
JAK1	Janus kinase 1	3716	1:64834562-64886264	1	Yes	1p32.3-p31.3	yes		ALL			L	Dom	"oncogene, TSG"	Mis				"3716,ENSG00000162434,JAK1,JAK1B,P23458"
JAK2	Janus kinase 2	3717	9:5021988-5126791	1	Yes	9p24	yes		"ALL, AML, MPN,  CML"			L	Dom	"oncogene, fusion"	"T, Mis, O"	"ETV6, PCM1, BCR"			"3717,ENSG00000096968,JAK2,O60674"
JAK3	Janus kinase 3	3718	19:17826743-17844417	1	Yes	19p13.1	yes		"acute megakaryocytic leukaemia, ETP ALL"			L	Dom	oncogene	Mis				"3718,ENSG00000105639,JAK3,P52333"
JAZF1	juxtaposed with another zinc finger gene 1	221895	7:27832800-28180577	2		7p15.2-p15.1	yes		endometrial stromal tumour			M	Dom	fusion	T	SUZ12			"221895,ENSG00000153814,JAZF1,Q86VZ6"
JUN	jun oncogene	3725	1:58782075-58783070	1		1p32-p31	yes		sarcoma			M	Dom	oncogene	A				"3725,ENSG00000177606,JUN,P05412"
KAT6A	K(lysine) acetyltransferase 6A	7994	8:-	1		8p11	yes		AML			L	Dom	"oncogene, fusion"	"T, A"	"CREBBP, NCOA2, EP300"			
KAT6B	K(lysine) acetyltransferase 6B	23522	10:74842858-75031046	1		10q22.2	yes		"AML, leiomyoma"			"L, M"	Dom	"TSG, fusion"	T	"CREBBP, KANSL1"		"Genitopatellar syndrome, Say-Barber-Biesecker/Young-Simpson syndrome"	"23522,ENSG00000156650,KAT6B,MYST4,Q8WYB5"
KAT7	lysine acetyltransferase 7	11143	17:49788835-49827502	2		17q21.33	yes		CCRCC			E		oncogene	Mis				"11143,ENSG00000136504,KAT7,MYST2,O95251"
KCNJ5	"potassium inwardly-rectifying channel; subfamily J; member 5"	3762	11:128911274-128916731	1		11q24	yes		adrenal adenoma			E	Dom	oncogene	Mis		yes	"Familial hyperaldosteronism type III, Long QT syndrome"	"3762,ENSG00000120457,KCNJ5,P48544"
KDM5A	"lysine (K)-specific demethylase 5A, JARID1A"	5927	12:285456-389091	1		12p11	yes		AML			L	Dom	"oncogene, fusion"	T	NUP98			"5927,ENSG00000073614,JARID1A,KDM5A,RBBP2"
KDM5C	lysine (K)-specific demethylase 5C (JARID1C)	8242	X:53192967-53224889	1		Xp11.22-p11.21	yes		clear cell renal carcinoma			E	Rec	TSG	"N, F, S, Mis"		yes	 X-linked mental retardation syndromic Claes-Jensen-type.	"8242,ENSG00000126012,JARID1C,KDM5C,MRX13,P41229,SMCX"
KDM6A	"lysine (K)-specific demethylase 6A, UTX"	7403	X:44873552-45111411	1	Yes	Xp11.2	yes		"renal cell carcinoma, bladder carcinoma, oesophageal SCC, MM, medulloblastoma, T-ALL, other tumour types"			"E, L"	Rec	"oncogene, TSG"	"D, N, F, S"		yes	Kabuki syndrome	"7403,ENSG00000147050,KDM6A,O15550,UTX"
KDR	vascular endothelial growth factor receptor 2	3791	4:55079941-55125293	1	Yes	4q11-q12	yes	yes	"NSCLC, angiosarcoma"	melanoma		E	Dom	oncogene	Mis				"3791,ENSG00000128052,KDR,P35968"
